Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-L,Cyber-Vehicle,13,173273.85318681315
TS_2DIFF+BOS-H,Cyber-Vehicle,5,888.4931868131868
TS_2DIFF+BOS-H,Cyber-Vehicle,6,1467.7345054945058
TS_2DIFF+BOS-H,Cyber-Vehicle,7,2472.8193406593405
TS_2DIFF+BOS-H,Cyber-Vehicle,8,4674.10989010989
TS_2DIFF+BOS-H,Cyber-Vehicle,9,8402.313846153844
TS_2DIFF+BOS-H,Cyber-Vehicle,10,16219.87868131868
TS_2DIFF+BOS-H,Cyber-Vehicle,11,32084.451868131866
TS_2DIFF+BOS-H,Cyber-Vehicle,12,65027.82593406593
TS_2DIFF+BOS-H,Cyber-Vehicle,13,129900.58901098902
TS_2DIFF+BOS-V,TH-Climate,5,973.7692833178996
TS_2DIFF+BOS-V,TH-Climate,6,1639.062316882486
TS_2DIFF+BOS-V,TH-Climate,7,3063.266588738937
TS_2DIFF+BOS-V,TH-Climate,8,5730.868550088807
TS_2DIFF+BOS-V,TH-Climate,9,11158.927026247477
TS_2DIFF+BOS-V,TH-Climate,10,21612.302460795774
TS_2DIFF+BOS-V,TH-Climate,11,41803.22645089794
TS_2DIFF+BOS-V,TH-Climate,12,82393.19174775705
TS_2DIFF+BOS-V,TH-Climate,13,167671.67173196908
TS_2DIFF+BOS-L,TH-Climate,5,949.2522884945273
TS_2DIFF+BOS-L,TH-Climate,6,1495.5357126592078
TS_2DIFF+BOS-L,TH-Climate,7,2654.646122083403
TS_2DIFF+BOS-L,TH-Climate,8,4623.247764638016
TS_2DIFF+BOS-L,TH-Climate,9,8693.118455209265
TS_2DIFF+BOS-L,TH-Climate,10,16720.092055925797
TS_2DIFF+BOS-L,TH-Climate,11,32034.92587251226
TS_2DIFF+BOS-L,TH-Climate,12,60018.372808282606
TS_2DIFF+BOS-L,TH-Climate,13,123618.8879814188
TS_2DIFF+BOS-H,TH-Climate,5,1090.7461327099115
TS_2DIFF+BOS-H,TH-Climate,6,1437.6998163132087
TS_2DIFF+BOS-H,TH-Climate,7,2327.8053223627285
TS_2DIFF+BOS-H,TH-Climate,8,4518.913181424863
TS_2DIFF+BOS-H,TH-Climate,9,9335.421067812305
TS_2DIFF+BOS-H,TH-Climate,10,16661.782520911453
TS_2DIFF+BOS-H,TH-Climate,11,32127.263552593628
TS_2DIFF+BOS-H,TH-Climate,12,65062.83934237093
TS_2DIFF+BOS-H,TH-Climate,13,130624.36433743719
TS_2DIFF+BOS-V,TY-Fuel,5,1088.412335343664
TS_2DIFF+BOS-V,TY-Fuel,6,2110.413640634877
TS_2DIFF+BOS-V,TY-Fuel,7,3927.688014898088
TS_2DIFF+BOS-V,TY-Fuel,8,7699.7973449966685
TS_2DIFF+BOS-V,TY-Fuel,9,15337.858324648478
TS_2DIFF+BOS-V,TY-Fuel,10,28255.94084502229
TS_2DIFF+BOS-V,TY-Fuel,11,55444.81949052638
TS_2DIFF+BOS-V,TY-Fuel,12,109512.8942406588
TS_2DIFF+BOS-V,TY-Fuel,13,226931.71019801468
TS_2DIFF+BOS-L,TY-Fuel,5,949.3384360424391
TS_2DIFF+BOS-L,TY-Fuel,6,1704.3918060514939
TS_2DIFF+BOS-L,TY-Fuel,7,3110.349920554919
TS_2DIFF+BOS-L,TY-Fuel,8,5923.28829509149
TS_2DIFF+BOS-L,TY-Fuel,9,11373.370009055032
TS_2DIFF+BOS-L,TY-Fuel,10,21998.982610924126
TS_2DIFF+BOS-L,TY-Fuel,11,43504.620143172
TS_2DIFF+BOS-L,TY-Fuel,12,87348.67132972271
TS_2DIFF+BOS-L,TY-Fuel,13,167157.80828620732
TS_2DIFF+BOS-H,TY-Fuel,5,1018.6177717790572
TS_2DIFF+BOS-H,TY-Fuel,6,1672.577143735798
TS_2DIFF+BOS-H,TY-Fuel,7,3033.9916693717855
TS_2DIFF+BOS-H,TY-Fuel,8,5952.665903538296
TS_2DIFF+BOS-H,TY-Fuel,9,11346.452197980556
TS_2DIFF+BOS-H,TY-Fuel,10,22618.739580734993
TS_2DIFF+BOS-H,TY-Fuel,11,42188.408111940684
TS_2DIFF+BOS-H,TY-Fuel,12,84065.58712477148
TS_2DIFF+BOS-H,TY-Fuel,13,171010.73971741472
TS_2DIFF+BOS-V,TY-Transport,5,1012.927261226793
TS_2DIFF+BOS-V,TY-Transport,6,1809.9574677321384
TS_2DIFF+BOS-V,TY-Transport,7,3304.5285408395894
TS_2DIFF+BOS-V,TY-Transport,8,6472.0069454758095
TS_2DIFF+BOS-V,TY-Transport,9,12185.280523799456
TS_2DIFF+BOS-V,TY-Transport,10,23837.231379510857
TS_2DIFF+BOS-V,TY-Transport,11,47638.30765307309
TS_2DIFF+BOS-V,TY-Transport,12,95249.56425495041
TS_2DIFF+BOS-V,TY-Transport,13,188256.6931538197
TS_2DIFF+BOS-L,TY-Transport,5,976.550746382208
TS_2DIFF+BOS-L,TY-Transport,6,1628.3913838238973
TS_2DIFF+BOS-L,TY-Transport,7,2915.7542585008587
TS_2DIFF+BOS-L,TY-Transport,8,5344.640312582124
TS_2DIFF+BOS-L,TY-Transport,9,9871.5253025198
TS_2DIFF+BOS-L,TY-Transport,10,19257.65771725325
TS_2DIFF+BOS-L,TY-Transport,11,36319.11369320209
TS_2DIFF+BOS-L,TY-Transport,12,69403.32648354965
TS_2DIFF+BOS-L,TY-Transport,13,140325.5127197382
TS_2DIFF+BOS-H,TY-Transport,5,1058.59012708695
TS_2DIFF+BOS-H,TY-Transport,6,1506.4124871360066
TS_2DIFF+BOS-H,TY-Transport,7,2565.1903488247453
TS_2DIFF+BOS-H,TY-Transport,8,4858.438505399397
TS_2DIFF+BOS-H,TY-Transport,9,9080.77242968936
TS_2DIFF+BOS-H,TY-Transport,10,17482.58281347787
TS_2DIFF+BOS-H,TY-Transport,11,34376.85057468933
TS_2DIFF+BOS-H,TY-Transport,12,68505.14065317235
TS_2DIFF+BOS-H,TY-Transport,13,137027.81959353108
TS_2DIFF+BOS-V,YZ-Electricity,5,945.7429504303948
TS_2DIFF+BOS-V,YZ-Electricity,6,1852.510933016721
TS_2DIFF+BOS-V,YZ-Electricity,7,3218.084891659246
TS_2DIFF+BOS-V,YZ-Electricity,8,5137.071732462649
TS_2DIFF+BOS-V,YZ-Electricity,9,9879.112694172356
TS_2DIFF+BOS-V,YZ-Electricity,10,30779.67507667953
TS_2DIFF+BOS-V,YZ-Electricity,11,38269.25180567923
TS_2DIFF+BOS-V,YZ-Electricity,12,77574.76283763727
TS_2DIFF+BOS-V,YZ-Electricity,13,163907.273770654
TS_2DIFF+BOS-L,YZ-Electricity,5,955.1020085089542
TS_2DIFF+BOS-L,YZ-Electricity,6,1655.4388047887603
TS_2DIFF+BOS-L,YZ-Electricity,7,3060.1587018897794
TS_2DIFF+BOS-L,YZ-Electricity,8,6353.951914514692
TS_2DIFF+BOS-L,YZ-Electricity,9,11586.69120411596
TS_2DIFF+BOS-L,YZ-Electricity,10,19193.28782032255
TS_2DIFF+BOS-L,YZ-Electricity,11,39878.351241713666
TS_2DIFF+BOS-L,YZ-Electricity,12,82616.6482635797
TS_2DIFF+BOS-L,YZ-Electricity,13,158865.79360839023
TS_2DIFF+BOS-H,YZ-Electricity,5,749.4781834372217
TS_2DIFF+BOS-H,YZ-Electricity,6,1114.17750074206
TS_2DIFF+BOS-H,YZ-Electricity,7,1913.9970317601662
TS_2DIFF+BOS-H,YZ-Electricity,8,3419.2349856535075
TS_2DIFF+BOS-H,YZ-Electricity,9,6180.220441278322
TS_2DIFF+BOS-H,YZ-Electricity,10,12303.298703868606
TS_2DIFF+BOS-H,YZ-Electricity,11,25464.13535173642
TS_2DIFF+BOS-H,YZ-Electricity,12,52322.783021668154
TS_2DIFF+BOS-H,YZ-Electricity,13,116091.02285544672
