Encoding,Dataset,Block Size,Compression Ratio
TS_2DIFF+BOS-V,TH-Climate,12,7.037901653356127
TS_2DIFF+BOS-V,TH-Climate,13,6.926617683784389
TS_2DIFF+BOS-L,TH-Climate,5,2.5972469332334485
TS_2DIFF+BOS-L,TH-Climate,6,3.486635261737151
TS_2DIFF+BOS-L,TH-Climate,7,4.122473246135554
TS_2DIFF+BOS-L,TH-Climate,8,4.5120038357478
TS_2DIFF+BOS-L,TH-Climate,9,4.718949800311621
TS_2DIFF+BOS-L,TH-Climate,10,4.768827032016363
TS_2DIFF+BOS-L,TH-Climate,11,4.719795081233096
TS_2DIFF+BOS-L,TH-Climate,12,4.571616944123949
TS_2DIFF+BOS-L,TH-Climate,13,4.40732625240445
TS_2DIFF+BOS-H,TH-Climate,5,2.909906129210382
TS_2DIFF+BOS-H,TH-Climate,6,4.1404170398654925
TS_2DIFF+BOS-H,TH-Climate,7,5.40568486054551
TS_2DIFF+BOS-H,TH-Climate,8,6.358704570683913
TS_2DIFF+BOS-H,TH-Climate,9,6.8483950617283975
TS_2DIFF+BOS-H,TH-Climate,10,7.038841694716036
TS_2DIFF+BOS-H,TH-Climate,11,7.085594428160381
TS_2DIFF+BOS-H,TH-Climate,12,7.037901653356127
TS_2DIFF+BOS-H,TH-Climate,13,6.926617683784389
TS_2DIFF+BOS-V,TY-Fuel,5,1.9858350933441902
TS_2DIFF+BOS-V,TY-Fuel,6,2.512264948643881
TS_2DIFF+BOS-V,TY-Fuel,7,2.8389403022718898
TS_2DIFF+BOS-V,TY-Fuel,8,3.0133262630604847
TS_2DIFF+BOS-V,TY-Fuel,9,3.0931141996512186
TS_2DIFF+BOS-V,TY-Fuel,10,3.1251868779633516
TS_2DIFF+BOS-V,TY-Fuel,11,3.1304771047993944
TS_2DIFF+BOS-V,TY-Fuel,12,3.1282017022300015
TS_2DIFF+BOS-V,TY-Fuel,13,3.121561767521486
TS_2DIFF+BOS-L,TY-Fuel,5,1.8871927479900754
TS_2DIFF+BOS-L,TY-Fuel,6,2.3693595592491694
TS_2DIFF+BOS-L,TY-Fuel,7,2.6530353233402386
TS_2DIFF+BOS-L,TY-Fuel,8,2.8138348120176047
TS_2DIFF+BOS-L,TY-Fuel,9,2.8987079105194606
TS_2DIFF+BOS-L,TY-Fuel,10,2.936821533312762
TS_2DIFF+BOS-L,TY-Fuel,11,2.9484496094743715
TS_2DIFF+BOS-L,TY-Fuel,12,2.953239905647288
TS_2DIFF+BOS-L,TY-Fuel,13,2.946735135679405
TS_2DIFF+BOS-H,TY-Fuel,5,1.9767975953257457
TS_2DIFF+BOS-H,TY-Fuel,6,2.5081632827966858
TS_2DIFF+BOS-H,TY-Fuel,7,2.83652576357843
TS_2DIFF+BOS-H,TY-Fuel,8,3.0120702032456528
TS_2DIFF+BOS-H,TY-Fuel,9,3.0929670945206857
TS_2DIFF+BOS-H,TY-Fuel,10,3.1251701915221934
TS_2DIFF+BOS-H,TY-Fuel,11,3.130410133948031
TS_2DIFF+BOS-H,TY-Fuel,12,3.1282017022300015
TS_2DIFF+BOS-H,TY-Fuel,13,3.121561767521486
TS_2DIFF+BOS-V,TY-Transport,5,2.4805460590390247
TS_2DIFF+BOS-V,TY-Transport,6,3.360991733187824
TS_2DIFF+BOS-V,TY-Transport,7,4.047432862701491
TS_2DIFF+BOS-V,TY-Transport,8,4.500520431966072
TS_2DIFF+BOS-V,TY-Transport,9,4.743163746202554
TS_2DIFF+BOS-V,TY-Transport,10,4.835622653440909
TS_2DIFF+BOS-V,TY-Transport,11,4.8631535659365435
TS_2DIFF+BOS-V,TY-Transport,12,4.839259717914438
TS_2DIFF+BOS-V,TY-Transport,13,4.817846417593255
TS_2DIFF+BOS-L,TY-Transport,5,2.4445236138307265
TS_2DIFF+BOS-L,TY-Transport,6,3.263626915362134
TS_2DIFF+BOS-L,TY-Transport,7,3.83672956782546
TS_2DIFF+BOS-L,TY-Transport,8,4.169264554723033
TS_2DIFF+BOS-L,TY-Transport,9,4.300516512102135
TS_2DIFF+BOS-L,TY-Transport,10,4.325143916258601
TS_2DIFF+BOS-L,TY-Transport,11,4.308393050244456
TS_2DIFF+BOS-L,TY-Transport,12,4.297554043411801
TS_2DIFF+BOS-L,TY-Transport,13,4.294526973021345
TS_2DIFF+BOS-H,TY-Transport,5,2.4894131339970578
TS_2DIFF+BOS-H,TY-Transport,6,3.3719223729413317
TS_2DIFF+BOS-H,TY-Transport,7,4.05443541867007
TS_2DIFF+BOS-H,TY-Transport,8,4.506064502429946
TS_2DIFF+BOS-H,TY-Transport,9,4.7449922221658065
TS_2DIFF+BOS-H,TY-Transport,10,4.837129103587716
TS_2DIFF+BOS-H,TY-Transport,11,4.8602108856691695
TS_2DIFF+BOS-H,TY-Transport,12,4.838974644780793
TS_2DIFF+BOS-H,TY-Transport,13,4.817925070422751
TS_2DIFF+BOS-V,YZ-Electricity,5,1.8216554769521922
TS_2DIFF+BOS-V,YZ-Electricity,6,2.293917385383568
TS_2DIFF+BOS-V,YZ-Electricity,7,2.631346003644884
TS_2DIFF+BOS-V,YZ-Electricity,8,2.8180677540777914
TS_2DIFF+BOS-V,YZ-Electricity,9,2.9263843648208474
TS_2DIFF+BOS-V,YZ-Electricity,10,2.9637123378051466
TS_2DIFF+BOS-V,YZ-Electricity,11,2.9776828459895412
TS_2DIFF+BOS-V,YZ-Electricity,12,2.9807564698075653
TS_2DIFF+BOS-V,YZ-Electricity,13,2.979658018867925
TS_2DIFF+BOS-L,YZ-Electricity,5,1.8178057553956835
TS_2DIFF+BOS-L,YZ-Electricity,6,2.2506262873684797
TS_2DIFF+BOS-L,YZ-Electricity,7,2.5270658832354043
TS_2DIFF+BOS-L,YZ-Electricity,8,2.6260474179928552
TS_2DIFF+BOS-L,YZ-Electricity,9,2.5605168155044655
TS_2DIFF+BOS-L,YZ-Electricity,10,2.469337893965307
TS_2DIFF+BOS-L,YZ-Electricity,11,2.41707521224441
TS_2DIFF+BOS-L,YZ-Electricity,12,2.3335064935064938
TS_2DIFF+BOS-L,YZ-Electricity,13,2.273279352226721
TS_2DIFF+BOS-H,YZ-Electricity,5,1.8246975988445566
TS_2DIFF+BOS-H,YZ-Electricity,6,2.294438138479001
TS_2DIFF+BOS-H,YZ-Electricity,7,2.6286085825747723
TS_2DIFF+BOS-H,YZ-Electricity,8,2.819443475835135
TS_2DIFF+BOS-H,YZ-Electricity,9,2.9263843648208474
TS_2DIFF+BOS-H,YZ-Electricity,10,2.9637123378051466
TS_2DIFF+BOS-H,YZ-Electricity,11,2.9776828459895412
TS_2DIFF+BOS-H,YZ-Electricity,12,2.9807564698075653
TS_2DIFF+BOS-H,YZ-Electricity,13,2.979658018867925
