Encoding,Dataset,Decoding Time
TS_2DIFF+PFOR,Cyber-Vehicle,17.171483516483512
SPRINTZ+BOS-O,Cyber-Vehicle,18.899615384615384
RLE+BOS-O,Cyber-Vehicle,10.845164835164836
TS_2DIFF+BOS-A,Cyber-Vehicle,63.52791208791209
RLE+BOS-A,Cyber-Vehicle,21.266098901098903
SPRINTZ+BOS-A,Cyber-Vehicle,43.39956043956044
TS_2DIFF+BWS,Cyber-Vehicle,13.252554945054948
RLE+BWS,Cyber-Vehicle,12.21706043956044
SPRINTZ+BWS,Cyber-Vehicle,15.47107142857143
TS_2DIFF+BOS-P,Cyber-Vehicle,22.22337912087912
SPRINTZ+BOS-P,Cyber-Vehicle,16.889093406593407
RLE+BOS-P,Cyber-Vehicle,10.91554945054945
BUFF,TH-Climate,0.20592655564495316
CHIMP,TH-Climate,0.10897484553610735
GORILLA,TH-Climate,0.05511362773822355
PLAIN,TH-Climate,5.310620436294081
RLBE,TH-Climate,17.479597103517374
RLE,TH-Climate,6.3550771939945045
SPRINTZ,TH-Climate,17.33554718928848
TS_2DIFF,TH-Climate,5.631275332837429
Elf,TH-Climate,17.436639923489718
TS_2DIFF+BOS-O,TH-Climate,21.04830507188074
RLE+FASTPFOR,TH-Climate,22.288790551515795
RLE+NEWPFOR,TH-Climate,17.29717031257116
RLE+OPTPFOR,TH-Climate,18.2193994504577
RLE+PFOR,TH-Climate,17.606477616018704
SPRINTZ+FASTPFOR,TH-Climate,26.542551576518452
SPRINTZ+NEWPFOR,TH-Climate,24.413135882683346
SPRINTZ+OPTPFOR,TH-Climate,27.60647002565543
SPRINTZ+PFOR,TH-Climate,24.92833178995947
TS_2DIFF+FASTPFOR,TH-Climate,20.671724378728765
TS_2DIFF+NEWPFOR,TH-Climate,16.44103805808146
TS_2DIFF+OPTPFOR,TH-Climate,16.464135533526633
TS_2DIFF+PFOR,TH-Climate,17.39806142121962
SPRINTZ+BOS-O,TH-Climate,17.55813459232159
RLE+BOS-O,TH-Climate,15.197387396960819
TS_2DIFF+BOS-A,TH-Climate,90.9227528729525
RLE+BOS-A,TH-Climate,24.488887708165713
SPRINTZ+BOS-A,TH-Climate,29.385939611069787
TS_2DIFF+BWS,TH-Climate,13.328989115419065
RLE+BWS,TH-Climate,13.632467019871571
SPRINTZ+BWS,TH-Climate,15.232447284927057
TS_2DIFF+BOS-P,TH-Climate,21.514823979475658
SPRINTZ+BOS-P,TH-Climate,16.491225540054348
RLE+BOS-P,TH-Climate,15.228682464742763
BUFF,TY-Fuel,0.3541712938442876
CHIMP,TY-Fuel,0.1324768071620167
GORILLA,TY-Fuel,0.07349267909313015
PLAIN,TY-Fuel,6.138524884249372
RLBE,TY-Fuel,25.96994754916198
RLE,TY-Fuel,6.349346500145222
SPRINTZ,TY-Fuel,20.100944798482857
TS_2DIFF,TY-Fuel,6.456476055423622
Elf,TY-Fuel,27.474499419121162
TS_2DIFF+BOS-O,TY-Fuel,26.160567904187523
RLE+FASTPFOR,TY-Fuel,20.501385590541766
RLE+NEWPFOR,TY-Fuel,19.771997744784812
RLE+OPTPFOR,TY-Fuel,19.023249218362917
RLE+PFOR,TY-Fuel,20.27700193060088
SPRINTZ+FASTPFOR,TY-Fuel,25.663897763578273
SPRINTZ+NEWPFOR,TY-Fuel,25.08641916249509
SPRINTZ+OPTPFOR,TY-Fuel,26.125184944730144
SPRINTZ+PFOR,TY-Fuel,25.517243853684374
TS_2DIFF+FASTPFOR,TY-Fuel,16.93105533819685
TS_2DIFF+NEWPFOR,TY-Fuel,17.17494660948899
TS_2DIFF+OPTPFOR,TY-Fuel,16.382915036476398
TS_2DIFF+PFOR,TY-Fuel,17.151598298337635
SPRINTZ+BOS-O,TY-Fuel,22.60396712853018
RLE+BOS-O,TY-Fuel,16.18635594813005
TS_2DIFF+BOS-A,TY-Fuel,78.09750730382191
RLE+BOS-A,TY-Fuel,21.60907553262374
SPRINTZ+BOS-A,TY-Fuel,41.06001264287301
TS_2DIFF+BWS,TY-Fuel,17.295979908082895
RLE+BWS,TY-Fuel,15.098108694537936
SPRINTZ+BWS,TY-Fuel,21.59704088431771
TS_2DIFF+BOS-P,TY-Fuel,26.799138917838413
SPRINTZ+BOS-P,TY-Fuel,22.139792588542825
RLE+BOS-P,TY-Fuel,16.459995557909483
BUFF,TY-Transport,0.21269809305697235
CHIMP,TY-Transport,0.10670481071045972
GORILLA,TY-Transport,0.06836451885451321
PLAIN,TY-Transport,5.029516188218878
RLBE,TY-Transport,23.093134970136642
RLE,TY-Transport,13.17213629668176
SPRINTZ,TY-Transport,20.867070330181
